# address	kind	text        kind 3 = plate, 1 = pre, 0 = end of line, 2 = post; newlines escaped
0011c088	3	Decrements and then checks for 0, deallocates when sees -1?
00179358	3	Potentially a lost static debug function of SectionReaderInterface class
0017cee8	3	Library Function - Single Match\n GetRomName\n\nLibrary: ps2_sdk 3.0.3 libscf
0017cf58	3	Library Function - Single Match\n IsT10K\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d008	3	Library Function - Single Match\nName: sceScfGetTimeZone\nLibrary: ps2_sdk 3.0.3 libscf
0017d060	3	Library Function - Single Match\nName: sceScfGetSummerTime\nLibrary: ps2_sdk 3.0.3 libscf
0017d0c8	3	Library Function - Single Match\n tobcd\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d0f8	3	Library Function - Single Match\n frombcd\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d118	3	Library Function - Single Match\n convertfrombcd\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d180	3	Library Function - Single Match\n converttobcd\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d2a0	3	Library Function - Single Match\n subdate\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d348	3	Library Function - Single Match\n addhour\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d378	3	Library Function - Single Match\n subhour\n\nLibrary: ps2_sdk 3.0.3 libscf
0017d3a0	3	Library Function - Single Match\nName: AdjustTime\nLibrary: ps2_sdk 3.0.3 libscf
0017d430	3	Library Function - Single Match\n sceScfGetLocalTimefromRTC\n\nLibrary: ps2_sdk 3.0.3 libscf
0017e308	3	Wait for all 10 DMA channels
0018c7a8	3	Generates a random integer number from 0 to endRange
001b6358	3	VCALLMS at address 0xb90
001b6364	3	VCALLMS at address 0xa08
001b7920	3	Send Skin vertecies to GS
001d2964	3	VCALLMS at address 0xf0
001f07a8	3	Related to OGI Type 3 struct
001fe2f4	3	VCALLMS at address 0x790
002b68e8	3	This function is only used on packaged resources such as RM2/SM2 pairs, Frontend.bin, Models/Shadow.dir and Materials/Shadow.dir
002b7870	3	Library Function - Single Match\n gcc2_compiled.\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b7940	3	Library Function - Single Match\nName: sceMpegCreate\nLibrary: ps2_sdk 3.0.3 libmpeg
002b7b78	3	Library Function - Single Match\n _clearEach\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b7c40	3	Library Function - Single Match\nName: _getpic\nLibrary: ps2_sdk 3.0.3 libmpeg
002b7df8	3	Library Function - Single Match\nName: _updateRefImage\nLibrary: ps2_sdk 3.0.3 libmpeg
002b80b0	3	Library Function - Single Match\nName: _decodeOrSkipFrame\nLibrary: ps2_sdk 3.0.3 libmpeg
002b8220	3	Library Function - Single Match\nName: _decodeOrSkipField\nLibrary: ps2_sdk 3.0.3 libmpeg
002b83e8	3	Library Function - Single Match\n sceMpegInit\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b84a8	3	Library Function - Single Match\n sceMpegGetPicture\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b84f0	3	Library Function - Single Match\n sceMpegGetPictureRAW8\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b8548	3	Library Function - Single Match\n sceMpegReset\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b85e0	3	Library Function - Single Match\n sceMpegAddCallback\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b8628	3	Library Function - Single Match\n _sceMpegDispatchMpegCallback\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b86a0	3	Library Function - Single Match\n _sceMpegDispatchMpegCbNodata\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b8718	3	Library Function - Single Match\nName: _decodeOrSkip\nLibrary: ps2_sdk 3.0.3 libmpeg
002b8760	3	Library Function - Single Match\n sceMpegClearRefBuff\n\nLibrary: ps2_sdk 3.0.3 libmpeg
002b87e0	3	Library Function - Single Match\nName: _decPicture\nLibrary: ps2_sdk 3.0.3 libmpeg
002b88e8	3	Library Function - Single Match\nName: _sceMpegAlalcAlloc\nLibrary: ps2_sdk 3.0.3 libmpeg
002b89a8	3	Library Function - Single Match\nName: gcc2_compiled.\nLibrary: ps2_sdk 3.0.3 libmpeg
002b8c38	3	Library Function - Single Match\nName: _dispRefImage\nLibrary: ps2_sdk 3.0.3 libmpeg
