# Generated by tools/re/ctors.py: functions whose only caller is a named script command or
# condition builder, so the constructor belongs to that command. Do not edit: regenerate.
# address	kind	name	detail
0011ccd0	F	InitGetShortRouteCommand	the constructor BuildCommand_GetShortRoute calls
0011f370	F	InitDUMMY_SetRayTestsCommand	the constructor BuildCommand_DUMMY_SetRayTests calls
0011f658	F	InitReduceHitPointsCommand	the constructor BuildCommand_ReduceHitPoints calls
0011f780	F	InitSetHitPointsCommand	the constructor BuildCommand_SetHitPoints calls
00121130	F	InitRaycastFocusPositionCommand	the constructor BuildCommand_RaycastFocusPosition calls
001216d8	F	InitSetKeyNearestPlayerCommand	the constructor BuildCommand_SetKeyNearestPlayer calls
001292c0	F	InitCA_SetPickupCommand	the constructor BuildCommand_CA_SetPickup calls
00221170	F	InitStoreCurrentSpaceCommand	the constructor BuildCommand_StoreCurrentSpace calls
00221bd0	F	InitClearAnimCommand	the constructor BuildCommand_ClearAnim calls
0023f2c0	F	InitSetWobbleCommand	the constructor BuildCommand_SetWobble calls
00252ff0	F	InitSetCollisionsCommand	the constructor BuildCommand_SetCollisions calls
002532d8	F	InitColliderLaunchNowCommand	the constructor BuildCommand_ColliderLaunchNow calls
