# Every function start in the executable, named or not - generated from the Ghidra decompile.
# Needed so an address can be attributed to the function that actually contains it: symbols.tsv
# holds only named functions, so the nearest preceding *name* can be thousands of bytes away and
# in a different function entirely.
00100008	entry
001000e0	FUN_001000e0
00100100	FUN_00100100
00100228	GameContextConstructor
001004c8	FUN_001004c8
00100698	FUN_00100698
00100b98	FUN_00100b98
00100cc8	FUN_00100cc8
00100dc8	FUN_00100dc8
00100f58	FUN_00100f58
001010e8	FUN_001010e8
00101168	SetColourRGBA
001011d8	FUN_001011d8
00101248	FUN_00101248
00101408	InitPublicObjectBuilder
00101428	FUN_00101428
00101458	FUN_00101458
00101488	FUN_00101488
00101490	FUN_00101490
001014a8	FUN_001014a8
001014b8	FUN_001014b8
001014e0	FUN_001014e0
00101500	FUN_00101500
00101520	CreateGameContext
00101610	GetSysFolder
00101620	BuilderIteratorAtEnd
00101650	FUN_00101650
00101660	FUN_00101660
00101678	SetColourAlpha
00101698	SetColourRed
001016b8	SetColourGreen
001016d8	SetColourBlue
001016f8	FUN_001016f8
00101720	BuildScriptCommand
00101768	BuildCommand_SetObject
0010181c	BuildCommand_Keep
00101954	BuildCommand_DestroyMe
00101ad8	BuildCommand_PosWarp
00101cbc	BuildCommand_RotWarp
00101d10	BuildCommand_StopMoving
00101d2c	BuildCommand_SetKey
00101da4	BuildCommand_NextKey
00101ddc	BuildCommand_RunScriptSlot
00101f88	BuildCommand_RestartPrevious
00101fa4	BuildCommand_SetBehaviourPriority
00101fc0	BuildCommand_ClearThreats
00101fdc	BuildCommand_SpawnResidentAgent
00101ff8	BuildCommand_SpawnResidentAgent2
00102188	BuildCommand_SetFocusToKey
001021e0	BuildCommand_SetFocusToAgent
00102220	BuildCommand_SetFocusToAgent2
00102264	BuildCommand_SetFocusToAgent3
001022a8	BuildCommand_AddNoiseToFocusPos
001022ec	BuildCommand_ClearFocus
00102308	BuildCommand_UnsupportOverFocus
00102324	BuildCommand_UnsupportAbove
00102434	BuildCommand_RequestAttachmentFocus
00102450	BuildCommand_RequestMessagersFocus
00102488	BuildCommand_RequestMessSourceAsFocus
001024c0	BuildCommand_SetFocusPosition
00102664	BuildCommand_SetFocusProperties
00102720	BuildCommand_SubtypeOf200
00102758	BuildCommand_ClearAnim
00102770	BuildCommand_ForceAnimUpdate
001027a8	BuildCommand_SetShadow
001027fc	BuildCommand_SetShadowCircle
00102868	BuildCommand_SetShadowMesh
001028c8	BuildCommand_SetShadowRectangle
00102934	BuildCommand_ShadowToggle
001029a8	BuildCommand_DUMMY_197
00102cb0	BuildCommand_SetSound
00102d28	BuildCommand_BeginMusic
00102d94	BuildCommand_EndContextMusic
00102e04	BuildCommand_SetWobble
00102e3c	BuildCommand_AlterWobblePhase
00102f08	BuildCommand_ClearWobble
00102f24	BuildCommand_StoreCurrentSpace
00102f3c	BuildCommand_PosWarp2
0010304c	BuildCommand_SubtypeOf177
00103144	BuildCommand_NowMoveForwards
00103160	BuildCommand_NowMoveBackwards
0010317c	BuildCommand_NowStrafeLeft
00103198	BuildCommand_NowStrafeRight
001031b4	BuildCommand_NowTurnLeft
001031d0	BuildCommand_NowTurnRight
001032a8	BuildCommand_TriggerLinkedObjects
00103348	BuildCommand_SetState
00103364	BuildCommand_ToggleState
00103644	BuildCommand_ClearUserMessage
00103660	BuildCommand_BroadcastUserMessage
001037fc	BuildCommand_RequestMessagersFocus2
00103828	BuildCommand_RequestMessagersFocus3
00103858	BuildCommand_RequestMessSourceAsFocus2
