# Generated by tools/re/autoname.py from the engine's dispatch tables and the Twinsanity
# Editor's ConditionID / CommandID enums. Do not edit: regenerate instead.
# address	kind	name	detail
00101768	F	BuildCommand_SetObject	command 78
0010181c	F	BuildCommand_Keep	command 79
00101954	F	BuildCommand_DestroyMe	command 85
00101ad8	F	BuildCommand_PosWarp	command 3
00101cbc	F	BuildCommand_RotWarp	command 29
00101d10	F	BuildCommand_StopMoving	command 61
00101d2c	F	BuildCommand_SetKey	command 4
00101da4	F	BuildCommand_NextKey	command 5
00101ddc	F	BuildCommand_RunScriptSlot	command 124
00101f88	F	BuildCommand_RestartPrevious	command 7
00101fa4	F	BuildCommand_SetBehaviourPriority	command 42
00101fc0	F	BuildCommand_ClearThreats	command 31
00101fdc	F	BuildCommand_SpawnResidentAgent	command 8
00101ff8	F	BuildCommand_SpawnResidentAgent2	command 112
00102188	F	BuildCommand_SetFocusToKey	command 28
001021e0	F	BuildCommand_SetFocusToAgent	command 45
00102220	F	BuildCommand_SetFocusToAgent2	command 90
00102264	F	BuildCommand_SetFocusToAgent3	command 91
001022a8	F	BuildCommand_AddNoiseToFocusPos	command 62
001022ec	F	BuildCommand_ClearFocus	command 52
00102308	F	BuildCommand_UnsupportOverFocus	command 50
00102324	F	BuildCommand_UnsupportAbove	command 51
00102434	F	BuildCommand_RequestAttachmentFocus	command 57
00102450	F	BuildCommand_RequestMessagersFocus	command 59
00102488	F	BuildCommand_RequestMessSourceAsFocus	command 67
001024c0	F	BuildCommand_SetFocusPosition	command 60
00102664	F	BuildCommand_SetFocusProperties	command 558
00102720	F	BuildCommand_SubtypeOf200	command 201
00102758	F	BuildCommand_ClearAnim	command 56
00102770	F	BuildCommand_ForceAnimUpdate	command 74
001027a8	F	BuildCommand_SetShadow	command 187
001027fc	F	BuildCommand_SetShadowCircle	command 188
00102868	F	BuildCommand_SetShadowMesh	command 189
001028c8	F	BuildCommand_SetShadowRectangle	command 190
00102934	F	BuildCommand_ShadowToggle	command 191
001029a8	F	BuildCommand_DUMMY_197	command 197
00102cb0	F	BuildCommand_SetSound	command 86
00102d28	F	BuildCommand_BeginMusic	command 88
00102d94	F	BuildCommand_EndContextMusic	command 89
00102e04	F	BuildCommand_SetWobble	command 12
00102e3c	F	BuildCommand_AlterWobblePhase	command 87
00102f08	F	BuildCommand_ClearWobble	command 13
00102f24	F	BuildCommand_StoreCurrentSpace	command 27
00102f3c	F	BuildCommand_PosWarp2	command 105
0010304c	F	BuildCommand_SubtypeOf177	command 179
00103144	F	BuildCommand_NowMoveForwards	command 14
00103160	F	BuildCommand_NowMoveBackwards	command 15
0010317c	F	BuildCommand_NowStrafeLeft	command 16
00103198	F	BuildCommand_NowStrafeRight	command 17
001031b4	F	BuildCommand_NowTurnLeft	command 18
001031d0	F	BuildCommand_NowTurnRight	command 19
001032a8	F	BuildCommand_TriggerLinkedObjects	command 33
00103348	F	BuildCommand_SetState	command 34
00103364	F	BuildCommand_ToggleState	command 35
