# Names for Crash Twinsanity's PAL executable (SLES_525.68), applied by tools/re/ghidra.py import.
# address	kind	name	detail        kind F = function (detail = prototype), L = label (detail = data type)
00100008	F	entry	void entry(void)
00100228	F	GameContextConstructor	GameContext * GameContextConstructor(GameContext * param_1)
00101408	F	InitPublicObjectBuilder	PublicObjectBuilder? * InitPublicObjectBuilder(PublicObjectBuilder? * param_1)
00101520	F	CreateGameContext	GameContext * CreateGameContext(uint wordNum, ArchivesData * words)
00101610	F	GetSysFolder	char * GetSysFolder(void)
00101620	F	BuilderIteratorAtEnd	undefined4 BuilderIteratorAtEnd(int param_1)
00101678	F	SetColourAlpha	undefined SetColourAlpha(float param_1, int param_2)
00101698	F	SetColourRed	undefined SetColourRed(float param_1, undefined * param_2)
001016b8	F	SetColourGreen	undefined SetColourGreen(float param_1, int param_2)
001016d8	F	SetColourBlue	undefined SetColourBlue(float param_1, int param_2)
00101720	F	BuildScriptCommand	undefined8 BuildScriptCommand(undefined8 param_1, ulong param_2, long param_3)
00101768	F	BuildCommand_SetObject	undefined4 * BuildCommand_SetObject(void)
0010181c	F	BuildCommand_Keep	undefined4 * BuildCommand_Keep(void)
00101954	F	BuildCommand_DestroyMe	undefined4 * BuildCommand_DestroyMe(void)
00101ad8	F	BuildCommand_PosWarp	undefined4 * BuildCommand_PosWarp(void)
00101cbc	F	BuildCommand_RotWarp	void BuildCommand_RotWarp(void)
00101d10	F	BuildCommand_StopMoving	void BuildCommand_StopMoving(void)
00101d2c	F	BuildCommand_SetKey	undefined4 * BuildCommand_SetKey(void)
00101da4	F	BuildCommand_NextKey	void BuildCommand_NextKey(void)
00101ddc	F	BuildCommand_RunScriptSlot	undefined4 * BuildCommand_RunScriptSlot(void)
00101f88	F	BuildCommand_RestartPrevious	void BuildCommand_RestartPrevious(void)
00101fa4	F	BuildCommand_SetBehaviourPriority	void BuildCommand_SetBehaviourPriority(void)
00101fc0	F	BuildCommand_ClearThreats	void BuildCommand_ClearThreats(void)
00101fdc	F	BuildCommand_SpawnResidentAgent	void BuildCommand_SpawnResidentAgent(void)
00101ff8	F	BuildCommand_SpawnResidentAgent2	void BuildCommand_SpawnResidentAgent2(void)
00102188	F	BuildCommand_SetFocusToKey	undefined4 * BuildCommand_SetFocusToKey(void)
001021e0	F	BuildCommand_SetFocusToAgent	undefined4 * BuildCommand_SetFocusToAgent(void)
00102220	F	BuildCommand_SetFocusToAgent2	undefined4 * BuildCommand_SetFocusToAgent2(void)
00102264	F	BuildCommand_SetFocusToAgent3	undefined4 * BuildCommand_SetFocusToAgent3(void)
001022a8	F	BuildCommand_AddNoiseToFocusPos	undefined4 * BuildCommand_AddNoiseToFocusPos(void)
001022ec	F	BuildCommand_ClearFocus	void BuildCommand_ClearFocus(void)
00102308	F	BuildCommand_UnsupportOverFocus	void BuildCommand_UnsupportOverFocus(void)
00102324	F	BuildCommand_UnsupportAbove	undefined4 * BuildCommand_UnsupportAbove(void)
00102434	F	BuildCommand_RequestAttachmentFocus	void BuildCommand_RequestAttachmentFocus(void)
00102450	F	BuildCommand_RequestMessagersFocus	undefined4 * BuildCommand_RequestMessagersFocus(void)
00102488	F	BuildCommand_RequestMessSourceAsFocus	undefined4 * BuildCommand_RequestMessSourceAsFocus(void)
001024c0	F	BuildCommand_SetFocusPosition	undefined4 * BuildCommand_SetFocusPosition(void)
00102664	F	BuildCommand_SetFocusProperties	undefined4 * BuildCommand_SetFocusProperties(void)
00102720	F	BuildCommand_SubtypeOf200	undefined4 * BuildCommand_SubtypeOf200(void)
00102758	F	BuildCommand_ClearAnim	void BuildCommand_ClearAnim(void)
00102770	F	BuildCommand_ForceAnimUpdate	undefined4 * BuildCommand_ForceAnimUpdate(void)
001027a8	F	BuildCommand_SetShadow	undefined4 * BuildCommand_SetShadow(void)
001027fc	F	BuildCommand_SetShadowCircle	undefined4 * BuildCommand_SetShadowCircle(void)
00102868	F	BuildCommand_SetShadowMesh	undefined4 * BuildCommand_SetShadowMesh(void)
001028c8	F	BuildCommand_SetShadowRectangle	undefined4 * BuildCommand_SetShadowRectangle(void)
00102934	F	BuildCommand_ShadowToggle	undefined4 * BuildCommand_ShadowToggle(void)
001029a8	F	BuildCommand_DUMMY_197	undefined4 * BuildCommand_DUMMY_197(void)
00102cb0	F	BuildCommand_SetSound	undefined4 * BuildCommand_SetSound(void)
00102d28	F	BuildCommand_BeginMusic	undefined4 * BuildCommand_BeginMusic(void)
00102d94	F	BuildCommand_EndContextMusic	void BuildCommand_EndContextMusic(void)
00102e04	F	BuildCommand_SetWobble	undefined4 * BuildCommand_SetWobble(void)
00102e3c	F	BuildCommand_AlterWobblePhase	undefined4 * BuildCommand_AlterWobblePhase(void)
00102f08	F	BuildCommand_ClearWobble	void BuildCommand_ClearWobble(void)
00102f24	F	BuildCommand_StoreCurrentSpace	void BuildCommand_StoreCurrentSpace(void)
00102f3c	F	BuildCommand_PosWarp2	undefined4 * BuildCommand_PosWarp2(void)
0010304c	F	BuildCommand_SubtypeOf177	undefined4 * BuildCommand_SubtypeOf177(void)
00103144	F	BuildCommand_NowMoveForwards	void BuildCommand_NowMoveForwards(void)
00103160	F	BuildCommand_NowMoveBackwards	void BuildCommand_NowMoveBackwards(void)
0010317c	F	BuildCommand_NowStrafeLeft	void BuildCommand_NowStrafeLeft(void)
00103198	F	BuildCommand_NowStrafeRight	void BuildCommand_NowStrafeRight(void)
001031b4	F	BuildCommand_NowTurnLeft	void BuildCommand_NowTurnLeft(void)
001031d0	F	BuildCommand_NowTurnRight	void BuildCommand_NowTurnRight(void)
001032a8	F	BuildCommand_TriggerLinkedObjects	undefined4 * BuildCommand_TriggerLinkedObjects(void)
00103348	F	BuildCommand_SetState	void BuildCommand_SetState(void)
00103364	F	BuildCommand_ToggleState	void BuildCommand_ToggleState(void)
00103644	F	BuildCommand_ClearUserMessage	void BuildCommand_ClearUserMessage(void)
00103660	F	BuildCommand_BroadcastUserMessage	undefined4 * BuildCommand_BroadcastUserMessage(void)
001037fc	F	BuildCommand_RequestMessagersFocus2	undefined4 * BuildCommand_RequestMessagersFocus2(void)
00103828	F	BuildCommand_RequestMessagersFocus3	undefined4 * BuildCommand_RequestMessagersFocus3(void)
00103858	F	BuildCommand_RequestMessSourceAsFocus2	undefined4 * BuildCommand_RequestMessSourceAsFocus2(void)
00103884	F	BuildCommand_RequestMessSourceAsFocus3	undefined4 * BuildCommand_RequestMessSourceAsFocus3(void)
001038f4	F	BuildCommand_NextRouteNode	void BuildCommand_NextRouteNode(void)
0010392c	F	BuildCommand_DiscardRoute	void BuildCommand_DiscardRoute(void)
0010399c	F	BuildCommand_SetCollisions	void BuildCommand_SetCollisions(void)
00103a60	F	BuildCommand_SetLogicalRadius	undefined4 * BuildCommand_SetLogicalRadius(void)
00103aa0	F	BuildCommand_ClearCollisions	void BuildCommand_ClearCollisions(void)
00103abc	F	BuildCommand_ContinueColliderMotion	undefined4 * BuildCommand_ContinueColliderMotion(void)
00103b80	F	BuildCommand_RevertColliderMotion	void BuildCommand_RevertColliderMotion(void)
00103b9c	F	BuildCommand_ColliderLaunchNow	void BuildCommand_ColliderLaunchNow(void)
00103c74	F	BuildCommand_ApplyImpulse	undefined4 * BuildCommand_ApplyImpulse(void)
00103e0c	F	BuildCommand_BecomeSticky	void BuildCommand_BecomeSticky(void)
00103e48	F	BuildCommand_BecomeNormal	undefined4 * BuildCommand_BecomeNormal(void)
00103eb8	F	BuildCommand_ClearContactResponse	void BuildCommand_ClearContactResponse(void)
00103f64	F	BuildCommand_SetSurface	undefined4 * BuildCommand_SetSurface(void)
001041a8	F	BuildCommand_AttachSpring	undefined4 * BuildCommand_AttachSpring(void)
00104238	F	BuildCommand_DetachAllSprings	void BuildCommand_DetachAllSprings(void)
00104254	F	BuildCommand_DropAttachedObject	undefined4 * BuildCommand_DropAttachedObject(void)
00104314	F	BuildCommand_ThrowAttachedObject	undefined4 * BuildCommand_ThrowAttachedObject(void)
00104428	F	BuildCommand_RequestDetach	void BuildCommand_RequestDetach(void)
00104444	F	BuildCommand_DestroySpawnedAttachment	undefined4 * BuildCommand_DestroySpawnedAttachment(void)
00104484	F	BuildCommand_ForceVolumeController	void BuildCommand_ForceVolumeController(void)
0010450c	F	BuildCommand_SetCounter	undefined4 * BuildCommand_SetCounter(void)
0010457c	F	BuildCommand_ModifyCounter	undefined4 * BuildCommand_ModifyCounter(void)
00104668	F	BuildCommand_PositionJoint	undefined4 * BuildCommand_PositionJoint(void)
00104694	F	BuildCommand_SubtypeOf146_2	undefined4 * BuildCommand_SubtypeOf146_2(void)
00104920	F	BuildCommand_NowRotateJoint	undefined4 * BuildCommand_NowRotateJoint(void)
00104950	F	BuildCommand_AttachFocusObject2	undefined4 * BuildCommand_AttachFocusObject2(void)
00104ad4	F	BuildCommand_SetFocusToKey2	undefined4 * BuildCommand_SetFocusToKey2(void)
00104b38	F	BuildCommand_SetFocusToAgent4	undefined4 * BuildCommand_SetFocusToAgent4(void)
00104b84	F	BuildCommand_RequestMessagersFocus4	undefined4 * BuildCommand_RequestMessagersFocus4(void)
00104bb4	F	BuildCommand_SetFocusPosition2	undefined4 * BuildCommand_SetFocusPosition2(void)
00104ce4	F	BuildCommand_AddNoiseToFocusPos2	undefined4 * BuildCommand_AddNoiseToFocusPos2(void)
00104d5c	F	BuildCommand_SubtypeOf146_1	undefined4 * BuildCommand_SubtypeOf146_1(void)
00104dd4	F	BuildCommand_CreateCrateContents	undefined4 * BuildCommand_CreateCrateContents(void)
00104f1c	F	BuildCommand_DamageOriginator	undefined4 * BuildCommand_DamageOriginator(void)
00104fac	F	BuildCommand_SetAgent	void BuildCommand_SetAgent(void)
00104fc8	F	BuildCommand_ResetGame	void BuildCommand_ResetGame(void)
00104fe4	F	BuildCommand_PlayCredits	void BuildCommand_PlayCredits(void)
