# Generated by tools/re/vtables.py - the engine's C++ vtables, found from the code that
# installs them. Do not edit: regenerate instead.
# vtable	slots	installed by	method addresses
002ee220	16	0010c880	0019a328,0023c7a8,0023d300,0011e750,00109520,0023c850,0023c7a0,0011e5b8,0011e600,0011e7a8,0011e3d0,0011e3d8,0011e658,0011e698,0023c7c8,0023c7d0
002ee2a0	8	0010a6e8,0010b298	0023c7d8,0023c7e0,0023c7e8,0011ea18,0011ea70,0011e3f0,00109290,0023c810
002ee2e0	12	0010b298	0023c818,0023c820,0023c828,0023c830,0023d490,0023c838,0023c840,0023c848,0023c8e8,0023c8f0,0023c8f8,0023c900
002ee340	40	0010aa50	0023c908,0011e408,0011e3c8,0011e3e0,-,-,0011e388,00106c40,-,-,0011e340,0011e370,0011e1d8,-,-,0011e300,0011e330,0011e1d8,-,-,0011e2c0,0011e2f0,0011e1d8,-,-,0011e270,0011e2a0,0011e1d8,-,-,0011e220,0011e250,0011e1d8,-,-,0011e1e0,0011e210,0011e1d8,-,-
002ee488	834	Command_SetAgent_Run	00119d88,00119ec0,00208380,0011e1d0,00208388,-,-,0011e108,00122068,00119748,001222b0,001222b8,-,-,0011e070,00119420,00119618,00208380,0011e100,00208388,-,-,0011e038,00121f28,00118db8,00121f30,00121f38,-,-,0011df88,00121938,00116fe0,001219c0,001219c8,-,-,0011df58,00121c30,00121ce8,00208380,0011df80,00208388,-,-,0011df20,0011df48,00121e28,00208380,0011df50,00208388,-,-,0011def0,00116768,00116a78,00208380,0011df18,00208388,-,-,0011de78,0011deb8,0011dec0,0011dec8,0011dee8,-,-,0011de20,00121848,001218d0,001160e0,-,-,0011ddf8,00121758,001217e8,00208380,0011de18,00208388,-,-,0011ddd0,00115ea0,00121718,00208380,0011ddf0,00208388,-,-,0011dda0,00115bf8,00115cf8,00208380,0011ddc8,00208388,-,-,0011dd70,00208378,00111fd0,00208380,0011dd98,00208388,-,-,0011dd40,00111cc0,00111e20,00208380,0011dd68,00208388,-,-,0011dd18,00111af0,00111bd8,00208380,0011dd38,00208388,-,-,0011dce8,00208378,00111a00,00208380,0011dd10,00208388,-,-,0011dcb8,00208378,00120128,00208380,0011dce0,00208388,-,-,0011dc88,00208378,00120080,00208380,0011dcb0,00208388,-,-,0011dc58,00208378,0011ffd8,00208380,0011dc80,00208388,-,-,0011dc30,00208378,0011ffd0,00208380,0011dc50,00208388,-,-,0011dc08,00208378,0011ffc8,00208380,0011dc28,00208388,-,-,0011dbd8,001116a8,00111838,00208380,0011dc00,00208388,-,-,0011dbb0,001112f8,00111490,00208380,0011dbd0,00208388,-,-,0011db78,0011dba0,00111148,00208380,0011dba8,00208388,-,-,0011db48,0010fdc0,001102d0,00208380,0011db70,00208388,-,-,0011db18,0011fd28,0010f368,00208380,0011db40,00208388,-,-,0011dae8,0011fd20,0010f248,00208380,0011db10,00208388,-,-,0011dac0,00208378,0010fb88,00208380,0011dae0,00208388,-,-,0011da98,00208378,0011ff60,00208380,0011dab8,00208388,-,-,0011da68,0010f480,0010f6e8,00208380,0011da90,00208388,-,-,0011da40,00208378,0011fd30,00208380,0011da60,00208388,-,-,0011d9f0,0011fc50,0010f140,00208380,0011da38,00208388,-,-,0011d9c0,0010d0d0,0011f5b8,0010d238,0011d9e8,00208388,-,-,0011d990,0010ce98,0010cfd0,00208380,0011d9b8,00208388,-,-,0011d960,0011f4d0,0011f580,00208380,0011d988,00208388,-,-,0011d930,0010cdd0,0011f468,00208380,0011d958,00208388,-,-,0011d900,0010cc78,0011f3b0,00208380,0011d928,00208388,-,-,0011d8d8,0010cba0,0011f3a8,00208380,0011d8f8,00208388,-,-,0011d8a0,0011d8c8,0011f9d0,00208380,0011d8d0,00208388,-,-,0011d878,0011f8e8,0011f978,00208380,0011d898,00208388,-,-,0011d848,0010def8,0010dfb8,00208380,0011d870,00208388,-,-,0011d820,0010d9e0,0010dac8,00208380,0011d840,00208388,-,-,0011d7f8,0011f7a8,0011f830,00208380,0011d818,00208388,-,-,0011d7d0,0011f680,0011f708,00208380,0011d7f0,00208388,-,-,0011d7a8,0010d740,0011f650,00208380,0011d7c8,00208388,-,-,0011d780,00112ff8,001130c0,00208380,0011d7a0,00208388,-,-,0011d730,00114470,001216a8,00208380,0011d778,00208388,-,-,0011d708,00121300,00121398,00208380,0011d728,00208388,-,-,0011d420,001132a8,00113a18,00208380,0011d700,00208388,-,-,0011d3f0,00114120,00114258,00208380,0011d418,00208388,-,-,0011d3c8,00208378,00121240,00208380,0011d3e8,00208388,-,-,0011d3a0,00208378,001211e0,00208380,0011d3c0,00208388,-,-,0011d378,00208378,00121168,00208380,0011d398,00208388,-,-,0011d350,00112b60,00112d20,00208380,0011d370,00208388,-,-,0011d320,00121018,001210a8,00208380,0011d348,00208388,-,-,0011d2f0,00112778,00112990,00208380,0011d318,00208388,-,-,0011d2a0,00112a80,00120f98,00208380,0011d2e8,00208388,-,-,0011d268,0011d290,00120f68,00208380,0011d298,00208388,-,-,0011d240,00112548,00120e98,00208380,0011d260,00208388,-,-,0011d210,00112270,00112440,00208380,0011d238,00208388,-,-,0011d1e8,00208378,00120e88,00208380,0011d208,00208388,-,-,0011d1c0,00120dc0,00120e50,00208380,0011d1e0,00208388,-,-,0011d198,00120cf8,00120d88,00208380,0011d1b8,00208388,-,-,0011d170,00208378,00120cd0,00208380,0011d190,00208388,-,-,0011d148,00208378,00120ca8,00208380,0011d168,00208388,-,-,0011d120,00208378,00120c80,00208380,0011d140,00208388,-,-,0011d0f8,00120bc8,00120c58,00208380,0011d118,00208388,-,-,0011d098,001209f8,00120ad0,00208380,0011d0f0,00208388,-,-,0011d070,00208378,001209d0,00208380,0011d090,00208388,-,-,0011d048,00120918,001209a8,00208380,0011d068,00208388,-,-,0011cff0,00120768,00120840,00208380,0011d040,00208388,-,-,0011cfc8,00120698,00120728,00208380,0011cfe8,00208388,-,-,0011cfa0,001205c8,00120658,00208380,0011cfc0,00208388,-,-,0011cf50,00120440,00120500,00208380,0011cf98,00208388,-,-,0011cef8,00120268,00120328,00208380,0011cf48,00208388,-,-,0011cec8,00112190,001201f8,00208380,0011cef0,00208388,-,-,0011cea0,00208378,001201d0,00208380,0011cec0,00208388,-,-,0011cc58,00114ca8,00115288,00208380,0011ce98,00208388,-,-,0011cc28,00115920,00115a90,00208380,0011cc50,00208388,-,-,0011cc00,00114710,00114840,00208380,0011cc20,00208388,-,-,0011cbd0,00208378,0011fc48,00208380,0011cbf8,00208388,-,-,0011cba8,00122ce8,0011b7a0,00208380,0011cbc8,00208388,-,-,0011cb78,0011b558,0011b670,00208380,0011cba0,00208388,-,-,0011cb50,0011b208,00122ba0,00208380,0011cb70,00208388,-,-,0011cb18,0011cb40,00122b78,00208380,0011cb48,00208388,-,-,0011cae0,0011cb08,00122c78,00208380,0011cb10,00208388,-,-,0011cab0,0011b2d0,0011b3d0,00208380,0011cad8,00208388,-,-,0011ca78,0011caa0,00122b50,00208380,0011caa8,00208388,-,-,0011ca40,0011ca68,00122ad8,00208380,0011ca70,00208388,-,-,0011ca10,001229d0,00122a68,00208380,0011ca38,00208388,-,-,0011c9e0,001228d8,00122968,00208380,0011ca08,00208388,-,-,0011c9a8,0011c9d0,0011a898,00208380,0011c9d8,00208388,-,-,0011c970,0011c998,001225e0,00208380,0011c9a0,00208388,-,-,0011c938,0011c960,00122580,00208380,0011c968,00208388,-,-,0011c910,001227c0,00122850,00208380,0011c930,00208388,-,-,0011c8e0,0011adb8,0011aec0,00208380,0011c908,00208388,-,-,0011c8b8,00208378,00122788,00208380,0011c8d8,00208388,-,-,0011c890,001226c8,0011acb8,00208380,0011c8b0,00208388,-,-,0011c860,00122618,0011aad8,00208380,0011c888,00208388,-,-,0011c830,0011a298,0011a628,00208380,0011c858,00208388,-,-,0011c800,00122dc8,00122e58,00208380,0011c828,00208388,-,-,0011c7d8,0011b880,0011bb80,00208380,0011c7f8,00208388,-,-,0011c778,00122430,0011c7a0,001224c0,0011c7d0,00208388,-,-,0011c718,00208378,0011c740,00122428,0011c770,00208388,-,-,0011c6c0
002efe98	47	InitSystemCallTableAddress	00208378,0011c6e0,0011a1e0,0011c710,00208388,-,-,0011c660,00122398,0011c688,0011a0f8,0011c6b8,00208388,-,-,0011c608,00208378,0011c628,001222e0,0011c658,00208388,-,-,0011c5e0,001222d0,001222d8,00208380,0011c600,00208388,-,-,0011c5b8,001222c0,001222c8,00208380,0011c5d8,00208388,-,-,0011c590,0010ebd8,0010edd0,00208380,0011c5b0,00208388,-,-
002f0040	4	00198628,00198730,001d5db8,00217d40,0021f438	0011fa18,-,-,0011c4b0
002f0070	2	Command_RotWarp_Run	00208380,0011c510
002f00a0	2	00121eb8,001ad760	0011c450,0011fac8
002f00b0	8	0024e7c0	0017ca20,00208380,0011c4a8,00208388,0010e088,-,-,0011c428
002f00f0	3	Command_SetPlayerInput_Run	0010d648,0011f5e8,00208380
002f0108	5	001160e0	0011c448,00208388,-,-,0011c400
002f0130	12	001903e0	0010cad8,0011f2b8,00208380,0011c420,00208388,-,-,0011c3b0,0011f150,0011f1e0,00208380,0011c3f8
002f01a8	12	001160e0,00212988	0011c2f0,0011f098,0010c880,00208380,0011c3a8,00208388,0011efb8,-,-,0011c250,0011f098,0011f128
002f0208	3	001ab090	00208380,0011c2e8,00208388
002f0220	4	001ad8e8	0010c758,-,-,0011c220
002f0270	4	00116cb8,0021ce60	0017ca20,0017ca20,-,-
002f0330	6	00116a78,00122fa0,00123008,00123068	00123000,-,-,00122fa0,-,-
002f0360	14	00116cb8	00122f70,0017ca20,0011e1d8,-,-,00122f40,0017ca20,0017ca20,0017ca20,-,-,00122ef0,00122f20,00122f28
002f03d0	5	00116a78,00116cb8	00122f30,00122f38,-,-,00122ec0
002f0500	10	Condition_LostAllAttachments_Check	0012d468,0011e1d8,-,-,0012d230,0012d438,0011e1d8,-,-,0012d200
002f0550	64	001656a8,00165868,00210468	0012d408,0011e1d8,-,-,0012d1d0,0012d3e0,0011e1d8,-,-,0012d1a0,0012d3b0,0011e1d8,-,-,0012d170,0012d380,0011e1d8,-,-,0012d140,0012d350,0011e1d8,-,-,0012d110,0012d320,0011e1d8,-,-,0012d0e0,0012d2f0,0011e1d8,-,-,0012cd88,0012d0b8,0011e1d8,-,-,0012cd58,0012d020,0011e1d8,-,-,0012cd28,0012cfb0,0011e1d8,-,-,0012ccf8,0012cf40,0011e1d8,-,-,0012ccc8,0012ced0,0011e1d8,-,-,0012cc98,0012ce60,0011e1d8,-,-
002f0750	42	00121398	0012cc68,0012ce28,0011e1d8,-,-,0012cc38,0012ce08,0011e1d8,-,-,0012cc08,0012cdb8,0011e1d8,-,-,0012caa8,0012cbc0,0011e1d8,-,-,0012ca78,0012cb78,0011e1d8,-,-,0012ca48,0012cb58,0011e1d8,-,-,0012ca18,0012cb18,0011e1d8,-,-,0012c9e8,0012cad8,0011e1d8,-,-,0012c098,0012c938
002f08a0	54	00116cb8	0011e1d8,-,-,0012c068,00128b70,0011e1d8,-,-,0012c038,0012c8f0,0011e1d8,-,-,0012c008,0012c8c0,0011e1d8,-,-,0012bfd8,0012c890,0011e1d8,-,-,0012bfa8,0012c808,0011e1d8,-,-,0012bf78,001289a8,0011e1d8,-,-,0012bf48,0012c788,0011e1d8,-,-,0012bf18,00128890,0011e1d8,-,-,0012bee8,0012c738,0011e1d8,-,-,0012beb8,0012c6f8,0011e1d8,-,-,0012be88
002f0a50	4	001171d8	0012c6a0,0011e1d8,-,-
002f0a70	6	00117858	0012be58,0012c648,0011e1d8,-,-,0012be28
002f0aa0	46	00117858	0012c598,0011e1d8,-,-,0012bdf8,0012c588,0011e1d8,-,-,0012bdc8,0012c5f0,0011e1d8,-,-,0012bd98,0012c578,0011e1d8,-,-,0012bd68,0012c568,0011e1d8,-,-,0012bd38,0012c528,0011e1d8,-,-,0012bd08,0012c4e8,0011e1d8,-,-,0012bcd8,0012c490,0011e1d8,-,-,0012bca8,0012c438,0011e1d8,-,-,0012bc78,0012c400
002f0c10	40	001236c0	0011e1d8,-,-,0012bc48,0012c3c0,0011e1d8,-,-,0012bc18,0012c338,0011e1d8,-,-,0012bbe8,0012c300,0011e1d8,-,-,0012bbb8,0012c2b0,0011e1d8,-,-,0012bb88,0012c268,0011e1d8,-,-,0012bb58,0012c238,0011e1d8,-,-,0012bb28,0012c208,0011e1d8,-,-,0012baf8,0012c1d8
002f0d50	128	00210468	0011e1d8,-,-,0012bac8,0012c1a8,0011e1d8,-,-,0012ba98,0012c178,0011e1d8,-,-,0012ba68,0012c168,0011e1d8,-,-,0012ba38,0012c140,0011e1d8,-,-,0012ba08,0012c950,0011e1d8,-,-,0012b9d8,0012c0f8,0011e1d8,-,-,0012b9a8,00128780,0011e1d8,-,-,0012b978,00128568,0011e1d8,-,-,0012b948,00128430,0011e1d8,-,-,0012b918,0012c0c8,0011e1d8,-,-,0012b870,0012b8a0,0011e1d8,-,-,0012b840,00128298,0011e1d8,-,-,0012b810,00128100,0011e1d8,-,-,0012b7e0,00127f68,0011e1d8,-,-,0012b7b0,00127dd0,0011e1d8,-,-,0012b780,00127ca0,0011e1d8,-,-,0012b750,00127a80,0011e1d8,-,-,0012b720,00127900,0011e1d8,-,-,0012b6f0,00126d48,0011e1d8,-,-,0012b6c0,001268f8,0011e1d8,-,-,0012b690,00126678,0011e1d8,-,-,0012b660,00126460,0011e1d8,-,-,0012b630,00127610,0011e1d8,-,-,0012b600,00127410,0011e1d8,-,-,0012b5d0,00127288,0011e1d8,-,-
